iter	Passed	Remaining
0	153	153397
1	157	78511
2	161	53775
3	164	40990
4	167	33299
5	170	28282
6	173	24624
7	176	21903
8	179	19776
9	182	18035
10	185	16635
11	187	15469
12	190	14489
13	193	13657
14	196	12929
15	199	12290
16	202	11725
17	205	11229
18	208	10758
19	211	10366
20	214	9989
21	217	9662
22	220	9360
23	223	9081
24	226	8833
25	229	8597
26	232	8366
27	235	8180
28	238	7995
29	241	7818
30	244	7652
31	247	7489
32	250	7337
33	253	7216
34	256	7072
35	259	6937
36	261	6793
37	262	6656
38	264	6526
39	266	6402
40	268	6287
41	270	6177
42	272	6074
43	274	5972
44	276	5878
45	278	5781
46	280	5697
47	282	5611
48	285	5540
49	289	5496
50	291	5428
51	294	5364
52	297	5313
53	302	5297
54	305	5241
55	307	5178
56	309	5122
57	312	5071
58	314	5022
59	317	4980
60	319	4924
61	321	4871
62	324	4820
63	326	4769
64	328	4721
65	331	4691
66	333	4647
67	334	4589
68	337	4547
69	339	4505
70	341	4463
71	343	4421
72	345	4381
73	347	4345
74	349	4314
75	352	4289
76	354	4251
77	356	4217
78	358	4183
79	361	4154
80	363	4126
81	365	4095
82	367	4061
83	369	4029
84	370	3990
85	372	3960
86	373	3923
87	376	3900
88	378	3874
89	380	3848
90	383	3827
91	385	3805
92	387	3782
93	389	3758
94	394	3754
95	396	3731
96	398	3708
97	400	3688
98	402	3666
99	404	3643
100	407	3626
101	408	3598
102	410	3577
103	413	3559
104	415	3540
105	417	3519
106	419	3502
107	422	3487
108	424	3471
109	427	3455
110	429	3437
111	431	3418
112	433	3402
113	435	3387
114	440	3388
115	442	3370
116	444	3357
117	447	3342
118	449	3329
119	454	3335
120	457	3320
121	460	3310
122	461	3290
123	463	3274
124	465	3257
125	468	3252
126	470	3237
127	472	3218
128	474	3205
129	476	3190
130	479	3177
131	481	3165
132	483	3153
133	486	3141
134	488	3127
135	490	3114
136	492	3100
137	494	3085
138	496	3075
139	498	3063
140	500	3051
141	502	3038
142	505	3028
143	507	3016
144	509	3003
145	511	2991
146	513	2981
147	515	2969
148	518	2959
149	519	2946
150	522	2937
151	525	2931
152	532	2947
153	534	2938
154	537	2928
155	539	2918
156	541	2909
157	545	2905
158	547	2896
159	549	2886
160	552	2876
161	554	2866
162	556	2858
163	560	2858
164	563	2849
165	566	2843
166	569	2840
167	574	2847
168	577	2840
169	581	2837
170	584	2834
171	587	2829
172	590	2824
173	595	2825
174	599	2827
175	602	2819
176	604	2812
177	607	2803
178	609	2795
179	613	2795
180	614	2781
181	617	2773
182	621	2773
183	624	2768
184	626	2760
185	629	2753
186	632	2747
187	634	2739
188	636	2731
189	638	2721
190	640	2712
191	643	2706
192	646	2701
193	648	2693
194	650	2685
195	652	2678
196	654	2668
197	656	2660
198	659	2655
199	661	2647
200	664	2642
201	666	2634
202	669	2626
203	671	2618
204	674	2614
205	676	2606
206	679	2604
207	682	2598
208	684	2592
209	687	2587
210	690	2581
211	692	2575
212	696	2573
213	699	2568
214	701	2563
215	704	2557
216	706	2549
217	708	2541
218	710	2534
219	712	2526
220	714	2519
221	716	2511
222	718	2503
223	720	2495
224	722	2488
225	724	2480
226	727	2475
227	729	2470
228	732	2464
229	734	2459
230	736	2451
231	738	2444
232	740	2437
233	742	2431
234	744	2424
235	746	2418
236	749	2413
237	752	2410
238	755	2405
239	758	2400
240	760	2394
241	762	2387
242	764	2381
243	766	2374
244	768	2368
245	770	2362
246	773	2356
247	775	2350
248	777	2344
249	779	2337
250	781	2332
251	783	2325
252	785	2320
253	788	2314
254	790	2309
255	792	2303
256	794	2298
257	796	2291
258	799	2287
259	801	2281
260	803	2276
261	805	2269
262	807	2263
263	809	2258
264	811	2251
265	813	2245
266	815	2239
267	817	2233
268	819	2226
269	821	2221
270	823	2215
271	825	2210
272	827	2204
273	829	2199
274	832	2195
275	834	2190
276	837	2184
277	839	2179
278	842	2176
279	844	2172
280	847	2168
281	849	2162
282	851	2157
283	853	2152
284	855	2146
285	857	2141
286	859	2135
287	861	2130
288	863	2124
289	865	2118
290	867	2113
291	869	2109
292	871	2103
293	873	2098
294	875	2093
295	878	2088
296	880	2083
297	882	2078
298	884	2074
299	886	2068
300	888	2064
301	891	2059
302	893	2054
303	895	2050
304	897	2045
305	899	2040
306	902	2036
307	903	2030
308	905	2025
309	908	2022
310	910	2017
311	913	2013
312	915	2008
313	917	2003
314	919	1998
315	921	1993
316	923	1988
317	924	1983
318	926	1978
319	928	1974
320	931	1969
321	933	1964
322	935	1960
323	937	1956
324	939	1951
325	941	1947
326	943	1942
327	945	1937
328	948	1933
329	950	1929
330	952	1924
331	954	1919
332	956	1915
333	958	1910
334	960	1906
335	962	1902
336	964	1897
337	967	1894
338	969	1889
339	971	1885
340	973	1881
341	976	1878
342	978	1874
343	981	1871
344	983	1867
345	986	1863
346	988	1860
347	990	1856
348	992	1852
349	995	1848
350	997	1844
351	999	1840
352	1002	1836
353	1004	1833
354	1006	1829
355	1008	1824
356	1010	1820
357	1012	1815
358	1014	1811
359	1016	1806
360	1018	1802
361	1020	1797
362	1022	1793
363	1023	1788
364	1025	1784
365	1027	1780
366	1029	1775
367	1031	1771
368	1033	1767
369	1035	1763
370	1037	1759
371	1039	1754
372	1041	1750
373	1043	1746
374	1045	1742
375	1046	1737
376	1048	1733
377	1051	1729
378	1053	1726
379	1055	1722
380	1057	1718
381	1059	1714
382	1061	1710
383	1063	1705
384	1065	1702
385	1067	1698
386	1069	1694
387	1071	1689
388	1073	1685
389	1075	1681
390	1077	1677
391	1079	1673
392	1081	1669
393	1083	1666
394	1085	1662
395	1087	1658
396	1088	1654
397	1090	1649
398	1092	1645
399	1094	1641
400	1096	1637
401	1098	1633
402	1100	1629
403	1101	1625
404	1103	1621
405	1105	1617
406	1107	1614
407	1109	1610
408	1111	1606
409	1113	1602
410	1115	1598
411	1117	1595
412	1119	1591
413	1121	1587
414	1123	1584
415	1125	1580
416	1127	1576
417	1129	1572
418	1131	1568
419	1133	1565
420	1136	1562
421	1139	1560
422	1141	1556
423	1143	1553
424	1145	1549
425	1147	1546
426	1149	1542
427	1151	1538
428	1153	1535
429	1155	1531
430	1158	1529
431	1160	1526
432	1163	1523
433	1165	1519
434	1167	1516
435	1169	1512
436	1171	1508
437	1173	1505
438	1175	1502
439	1177	1498
440	1179	1495
441	1181	1491
442	1183	1487
443	1185	1484
444	1187	1481
445	1189	1477
446	1191	1474
447	1193	1470
448	1195	1467
449	1197	1463
450	1199	1460
451	1202	1457
452	1204	1455
453	1206	1451
454	1208	1447
455	1210	1444
456	1212	1440
457	1214	1437
458	1217	1434
459	1219	1431
460	1221	1428
461	1223	1424
462	1225	1421
463	1227	1418
464	1229	1414
465	1232	1411
466	1234	1409
467	1237	1406
468	1239	1403
469	1241	1399
470	1243	1396
471	1245	1393
472	1247	1389
473	1249	1386
474	1251	1382
475	1253	1379
476	1255	1376
477	1257	1372
478	1259	1369
479	1260	1365
480	1262	1362
481	1264	1359
482	1266	1355
483	1268	1352
484	1270	1348
485	1272	1345
486	1274	1342
487	1275	1338
488	1277	1335
489	1279	1331
490	1281	1328
491	1283	1324
492	1285	1321
493	1287	1318
494	1289	1315
495	1291	1312
496	1293	1309
497	1295	1306
498	1297	1303
499	1300	1300
500	1302	1296
501	1304	1294
502	1307	1291
503	1309	1288
504	1311	1285
505	1313	1282
506	1316	1280
507	1318	1276
508	1320	1273
509	1322	1270
510	1324	1267
511	1327	1264
512	1329	1261
513	1331	1258
514	1333	1255
515	1334	1252
516	1336	1248
517	1338	1245
518	1341	1242
519	1343	1239
520	1345	1236
521	1347	1233
522	1349	1230
523	1351	1227
524	1353	1224
525	1355	1221
526	1357	1218
527	1359	1215
528	1362	1212
529	1364	1209
530	1366	1206
531	1368	1203
532	1370	1200
533	1372	1197
534	1374	1194
535	1375	1191
536	1377	1188
537	1379	1184
538	1381	1181
539	1383	1178
540	1385	1175
541	1387	1172
542	1389	1169
543	1391	1166
544	1393	1163
545	1395	1160
546	1397	1157
547	1399	1154
548	1400	1150
549	1402	1147
550	1404	1144
551	1406	1141
552	1408	1138
553	1411	1136
554	1413	1133
555	1415	1130
556	1417	1127
557	1419	1124
558	1421	1121
559	1424	1119
560	1426	1115
561	1427	1112
562	1429	1109
563	1431	1106
564	1433	1103
565	1435	1100
566	1437	1097
567	1439	1094
568	1441	1091
569	1443	1088
570	1445	1086
