iter	Passed	Remaining
0	165	165160
1	167	83567
2	169	56335
3	171	42721
4	173	34521
5	175	29085
6	177	25234
7	180	22337
8	182	20097
9	184	18246
10	186	16755
11	188	15520
12	190	14466
13	192	13592
14	195	12828
15	197	12140
16	199	11529
17	201	10986
18	203	10516
19	205	10090
20	208	9710
21	210	9351
22	212	9017
23	214	8725
24	216	8457
25	218	8197
26	221	7965
27	223	7748
28	225	7539
29	227	7344
30	229	7160
31	230	6986
32	233	6842
33	236	6712
34	238	6565
35	240	6431
36	242	6310
37	244	6194
38	246	6082
39	248	5974
40	251	5881
41	253	5787
42	255	5690
43	257	5597
44	259	5511
45	261	5426
46	263	5349
47	266	5283
48	268	5211
49	270	5142
50	272	5073
51	274	5006
52	276	4946
53	278	4887
54	281	4833
55	283	4782
56	285	4725
57	287	4666
58	289	4614
59	291	4566
60	293	4520
61	295	4473
62	297	4427
63	299	4379
64	301	4333
65	303	4294
66	305	4256
67	308	4226
68	310	4188
69	312	4151
70	314	4121
71	317	4089
72	319	4054
73	321	4022
74	323	3990
75	325	3958
76	328	3931
77	330	3901
78	332	3871
79	333	3839
80	335	3809
81	337	3781
82	339	3745
83	341	3720
84	343	3693
85	345	3667
86	347	3642
87	349	3619
88	351	3594
89	353	3572
90	355	3550
91	357	3527
92	359	3510
93	361	3487
94	363	3465
95	365	3442
96	367	3422
97	369	3402
98	371	3379
99	373	3364
100	375	3343
101	378	3328
102	382	3327
103	386	3332
104	390	3324
105	392	3309
106	394	3290
107	396	3271
108	398	3257
109	400	3241
110	402	3226
111	405	3212
112	407	3195
113	408	3177
114	410	3159
115	412	3145
116	414	3127
117	416	3112
118	418	3098
119	420	3082
120	422	3067
121	423	3050
122	425	3036
123	427	3022
124	430	3010
125	432	3000
126	434	2985
127	436	2971
128	438	2961
129	440	2949
130	443	2941
131	445	2928
132	447	2917
133	449	2903
134	451	2890
135	452	2877
136	454	2863
137	456	2850
138	458	2840
139	462	2841
140	544	3317
141	546	3300
142	548	3289
143	551	3279
144	554	3269
145	557	3260
146	560	3251
147	563	3241
148	566	3234
149	569	3226
150	572	3219
151	575	3210
152	578	3199
153	622	3419
154	626	3413
155	628	3402
156	631	3392
157	634	3381
158	637	3371
159	640	3363
160	642	3346
161	644	3335
162	647	3324
163	650	3313
164	685	3466
165	687	3456
166	690	3445
167	693	3433
168	695	3421
169	698	3411
170	703	3411
171	706	3400
172	709	3389
173	711	3379
174	731	3450
175	734	3436
176	736	3423
177	738	3410
178	740	3395
179	742	3381
180	744	3368
181	746	3354
182	748	3341
183	750	3328
184	752	3314
185	754	3300
186	756	3290
187	759	3281
188	767	3294
189	770	3284
190	773	3277
191	776	3267
192	784	3278
193	786	3268
194	789	3259
195	792	3249
196	797	3250
197	799	3237
198	801	3224
199	803	3213
200	805	3201
201	807	3190
202	810	3183
203	813	3174
204	815	3163
205	818	3155
206	820	3145
207	823	3134
208	825	3124
209	827	3114
210	829	3103
211	833	3096
212	835	3086
213	837	3075
214	839	3064
215	841	3053
216	843	3043
217	845	3032
218	847	3021
219	849	3011
220	851	3000
221	852	2989
222	855	2979
223	856	2968
224	858	2958
225	860	2948
226	863	2939
227	864	2928
228	866	2917
229	868	2907
230	870	2898
231	872	2888
232	874	2879
233	876	2868
234	878	2859
235	880	2849
236	882	2839
237	884	2830
238	886	2821
239	888	2812
240	889	2802
241	891	2793
242	893	2783
243	895	2774
244	897	2764
245	898	2755
246	900	2746
247	903	2738
248	905	2730
249	907	2721
250	908	2712
251	910	2703
252	912	2694
253	914	2686
254	916	2678
255	918	2670
256	921	2662
257	923	2654
258	924	2646
259	926	2637
260	928	2629
261	930	2622
262	933	2615
263	935	2607
264	937	2599
265	939	2591
266	941	2583
267	942	2575
268	945	2568
269	947	2563
270	950	2555
271	952	2548
272	954	2541
273	956	2533
274	958	2525
275	960	2519
276	962	2512
277	965	2506
278	967	2500
279	969	2494
280	972	2487
281	981	2499
282	984	2495
283	987	2489
284	990	2484
285	992	2478
286	995	2471
287	996	2464
288	999	2457
289	1001	2450
290	1003	2444
291	1005	2437
292	1007	2431
293	1010	2425
294	1012	2418
295	1013	2411
296	1015	2404
297	1017	2397
298	1019	2390
299	1021	2383
300	1023	2376
301	1025	2370
302	1027	2363
303	1029	2356
304	1031	2349
305	1033	2342
306	1035	2336
307	1037	2330
308	1039	2323
309	1041	2317
310	1042	2310
311	1044	2303
312	1046	2297
313	1048	2290
314	1050	2283
315	1052	2277
316	1054	2271
317	1056	2265
318	1057	2258
319	1059	2251
320	1061	2245
321	1063	2239
322	1065	2232
323	1067	2228
324	1070	2222
325	1072	2216
326	1074	2210
327	1081	2215
328	1083	2210
329	1085	2204
330	1087	2198
331	1089	2192
332	1092	2187
333	1094	2181
334	1095	2175
335	1098	2170
336	1100	2164
337	1101	2158
338	1103	2152
339	1105	2146
340	1107	2141
341	1110	2136
342	1113	2132
343	1115	2126
344	1117	2121
345	1119	2116
346	1121	2110
347	1123	2105
348	1126	2100
349	1128	2095
350	1130	2089
351	1132	2084
352	1134	2079
353	1136	2074
354	1139	2069
355	1142	2067
356	1144	2062
357	1146	2056
358	1148	2051
359	1150	2046
360	1152	2040
361	1154	2035
362	1157	2030
363	1159	2026
364	1162	2022
365	1165	2019
366	1171	2020
367	1174	2017
368	1177	2013
369	1179	2008
370	1182	2004
371	1184	2000
372	1186	1995
373	1190	1992
374	1192	1987
375	1194	1982
376	1196	1977
377	1199	1973
378	1201	1969
379	1205	1967
380	1207	1962
381	1209	1957
382	1211	1952
383	1213	1946
384	1215	1941
385	1217	1936
386	1219	1932
387	1221	1927
388	1223	1922
389	1225	1917
390	1227	1912
391	1229	1907
392	1231	1902
393	1234	1899
394	1236	1894
395	1238	1889
396	1240	1884
397	1242	1879
398	1244	1874
399	1246	1870
400	1249	1866
401	1251	1861
402	1253	1856
403	1255	1851
404	1257	1847
405	1259	1843
406	1261	1838
407	1263	1833
408	1266	1829
409	1268	1825
410	1270	1820
411	1272	1816
412	1274	1811
413	1276	1807
414	1279	1804
415	1281	1799
416	1283	1794
417	1286	1790
418	1288	1786
419	1290	1781
420	1292	1777
421	1294	1772
422	1296	1768
423	1298	1764
424	1300	1759
425	1302	1755
426	1305	1751
427	1307	1746
428	1309	1742
429	1311	1738
430	1313	1733
431	1315	1729
432	1317	1725
433	1320	1721
434	1322	1717
435	1324	1713
436	1327	1710
437	1329	1706
438	1331	1701
439	1333	1697
440	1335	1693
441	1338	1689
442	1344	1689
443	1346	1686
444	1357	1692
445	1360	1689
446	1364	1687
447	1366	1683
448	1369	1680
449	1371	1676
450	1373	1672
451	1376	1668
452	1378	1664
453	1381	1660
454	1383	1657
455	1386	1654
456	1388	1650
457	1391	1646
458	1394	1644
459	1398	1641
460	1401	1638
461	1405	1636
462	1408	1633
463	1410	1629
464	1412	1625
465	1415	1621
466	1417	1618
467	1420	1614
468	1424	1612
469	1426	1608
470	1428	1604
471	1432	1602
472	1434	1598
473	1436	1594
474	1439	1590
475	1441	1586
476	1443	1582
477	1445	1578
478	1447	1574
479	1450	1570
480	1452	1567
481	1454	1563
482	1456	1558
483	1458	1555
484	1461	1552
485	1464	1549
486	1466	1544
487	1468	1540
488	1471	1537
489	1473	1533
490	1476	1530
491	1478	1526
492	1480	1522
493	1482	1519
494	1485	1515
495	1487	1511
496	1489	1507
497	1491	1503
498	1495	1501
499	1497	1497
500	1500	1494
501	1502	1490
502	1504	1486
503	1506	1482
504	1510	1480
505	1512	1476
506	1515	1473
507	1517	1470
508	1520	1466
509	1523	1464
510	1526	1461
511	1529	1458
512	1533	1455
513	1535	1452
514	1538	1449
515	1540	1445
516	1542	1441
517	1544	1437
518	1546	1433
519	1549	1430
520	1552	1427
521	1555	1424
522	1558	1421
523	1560	1417
524	1563	1414
525	1566	1411
526	1568	1408
527	1571	1404
528	1573	1400
529	1575	1397
530	1577	1393
531	1579	1389
532	1581	1385
533	1583	1382
534	1586	1378
535	1588	1375
536	1590	1371
537	1592	1367
538	1595	1364
539	1597	1361
540	1600	1357
541	1602	1354
542	1604	1350
543	1606	1346
544	1609	1343
545	1611	1339
546	1613	1336
547	1615	1332
548	1617	1328
549	1619	1324
550	1621	1320
551	1623	1317
552	1625	1313
553	1627	1310
554	1629	1306
555	1632	1303
556	1634	1299
557	1636	1295
558	1638	1292
559	1639	1288
560	1641	1284
561	1644	1281
562	1646	1277
563	1648	1274
564	1650	1270
565	1652	1266
566	1654	1263
567	1655	1259
568	1658	1256
569	1661	1253
570	1663	1249
571	1666	1247
572	1669	1244
573	1672	1241
574	1677	1239
575	1680	1237
576	1683	1234
577	1685	1230
578	1688	1227
579	1692	1225
580	1694	1222
581	1698	1219
582	1700	1216
583	1703	1213
584	1705	1210
585	1709	1207
586	1711	1204
587	1714	1201
588	1718	1199
589	1722	1196
590	1725	1193
591	1727	1190
592	1730	1187
593	1733	1184
594	1737	1182
595	1740	1179
596	1745	1178
597	1752	1177
598	1754	1174
599	1756	1171
600	1759	1167
601	1761	1164
602	1763	1161
603	1766	1158
604	1769	1155
605	1772	1152
606	1775	1149
607	1778	1146
608	1781	1143
609	1784	1140
610	1786	1137
611	1788	1134
612	1791	1130
613	1793	1127
614	1797	1124
615	1799	1121
616	1801	1118
617	1804	1115
618	1806	1111
619	1810	1109
620	1813	1106
621	1815	1103
622	1817	1100
623	1820	1096
624	1822	1093
625	1825	1090
626	1827	1087
627	1830	1084
628	1835	1082
629	1837	1079
630	1839	1075
631	1842	1072
632	1845	1069
633	1848	1067
634	1851	1064
635	1853	1060
636	1858	1058
637	1863	1057
638	1869	1056
639	1874	1054
640	1878	1052
641	1881	1049
642	1884	1046
643	1888	1043
644	1890	1040
645	1893	1037
646	1896	1034
647	1898	1031
648	1901	1028
649	1905	1025
650	1908	1023
651	1911	1020
652	1913	1017
653	1916	1013
654	1919	1011
655	1922	1008
656	1925	1005
657	1928	1002
658	1931	999
659	1935	996
660	1938	994
661	1940	990
662	1943	988
663	1946	985
664	1950	982
665	1953	979
666	1956	976
667	1959	973
668	1961	970
669	1964	967
670	1967	964
671	1970	961
672	1974	959
673	1978	956
674	1980	953
675	1983	950
676	1986	947
677	1989	944
678	1991	941
679	1994	938
680	2000	936
681	2002	933
682	2005	930
683	2007	927
684	2010	924
685	2013	921
686	2015	918
687	2018	915
688	2020	911
689	2022	908
690	2025	905
691	2027	902
692	2030	899
693	2032	896
694	2034	893
695	2037	890
696	2040	887
697	2044	884
698	2047	881
699	2050	878
700	2053	875
701	2055	872
702	2057	869
703	2061	866
704	2063	863
705	2066	860
706	2070	857
707	2073	855
708	2075	851
709	2077	848
710	2080	845
711	2082	842
712	2085	839
713	2087	836
714	2090	833
715	2092	829
716	2094	826
717	2096	823
718	2098	819
719	2100	817
720	2103	813
721	2105	810
722	2107	807
723	2109	804
724	2111	800
725	2113	797
726	2115	794
727	2119	791
728	2121	788
729	2123	785
730	2125	782
731	2127	779
732	2130	776
733	2133	773
734	2135	769
735	2137	766
736	2139	763
737	2142	760
738	2145	757
739	2148	754
740	2150	751
741	2155	749
742	2157	746
743	2160	743
744	2163	740
745	2166	737
746	2168	734
747	2170	731
748	2172	727
749	2174	724
750	2177	721
751	2179	718
752	2181	715
753	2183	712
754	2186	709
755	2189	706
756	2191	703
757	2194	700
758	2196	697
759	2198	694
760	2200	691
761	2202	687
762	2205	684
763	2209	682
764	2211	679
765	2213	676
766	2216	673
767	2219	670
768	2225	668
769	2228	665
770	2231	662
771	2234	659
772	2236	656
773	2238	653
774	2241	650
775	2243	647
776	2246	644
777	2248	641
778	2251	638
779	2255	636
780	2257	632
781	2259	629
782	2261	626
783	2263	623
784	2266	620
785	2268	617
786	2271	614
787	2273	611
788	2278	609
789	2281	606
790	2286	604
791	2289	601
792	2291	598
793	2294	595
794	2296	592
795	2300	589
796	2303	586
797	2305	583
798	2307	580
799	2310	577
800	2312	574
801	2314	571
802	2317	568
803	2319	565
804	2322	562
805	2324	559
806	2327	556
807	2330	553
808	2334	551
809	2337	548
810	2339	545
811	2342	542
812	2344	539
813	2347	536
814	2351	533
815	2353	530
816	2356	527
817	2358	524
818	2361	521
819	2363	518
820	2366	515
821	2368	512
822	2370	509
823	2373	506
824	2380	504
825	2382	501
826	2385	498
827	2390	496
828	2392	493
829	2394	490
830	2397	487
831	2399	484
832	2402	481
833	2406	478
834	2409	476
835	2413	473
836	2426	472
837	2430	469
838	2433	466
839	2436	464
840	2439	461
841	2441	458
842	2443	455
843	2445	452
844	2447	449
845	2449	445
846	2452	442
847	2454	440
848	2456	436
849	2459	434
850	2461	431
851	2464	428
852	2466	425
853	2468	422
854	2470	419
855	2473	416
856	2475	413
857	2478	410
858	2480	407
859	2481	404
860	2484	401
861	2486	398
862	2488	394
863	2490	391
864	2492	389
865	2494	386
866	2496	383
867	2498	379
868	2500	376
869	2502	373
870	2504	370
871	2505	367
872	2507	364
873	2510	361
874	2511	358
875	2514	355
876	2516	352
877	2517	349
878	2519	346
879	2521	343
880	2523	340
881	2525	337
882	2527	334
883	2528	331
884	2530	328
885	2532	325
886	2534	322
887	2536	319
888	2538	316
889	2540	314
890	2542	311
891	2544	308
892	2546	305
893	2548	302
894	2549	299
895	2551	296
896	2553	293
897	2555	290
898	2557	287
899	2559	284
900	2561	281
901	2563	278
902	2566	275
903	2570	272
904	2573	270
905	2576	267
906	2579	264
907	2583	261
908	2587	258
909	2589	256
910	2592	253
911	2594	250
912	2596	247
913	2598	244
914	2600	241
915	2602	238
916	2604	235
917	2606	232
918	2607	229
919	2609	226
920	2611	224
921	2613	221
922	2615	218
923	2617	215
924	2619	212
925	2621	209
926	2623	206
927	2625	203
928	2627	200
929	2629	197
930	2631	195
931	2633	192
932	2635	189
933	2637	186
934	2639	183
935	2641	180
936	2644	177
937	2646	174
938	2648	172
939	2650	169
940	2652	166
941	2654	163
942	2656	160
943	2658	157
944	2660	154
945	2662	151
946	2664	149
947	2666	146
948	2668	143
949	2670	140
950	2672	137
951	2674	134
952	2676	132
953	2678	129
954	2681	126
955	2683	123
956	2685	120
957	2688	117
958	2690	115
959	2692	112
960	2694	109
961	2696	106
962	2698	103
963	2702	100
964	2704	98
965	2706	95
966	2709	92
967	2711	89
968	2713	86
969	2716	84
970	2719	81
971	2722	78
972	2725	75
973	2728	72
974	2731	70
975	2734	67
976	2737	64
977	2740	61
978	2742	58
979	2745	56
980	2748	53
981	2750	50
982	2753	47
983	2757	44
984	2760	42
985	2762	39
986	2765	36
987	2768	33
988	2770	30
989	2772	28
990	2775	25
991	2778	22
992	2781	19
993	2783	16
994	2786	14
995	2789	11
996	2792	8
997	2794	5
998	2797	2
999	2800	0
